,Kernel,C,Gamma,Degree,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
25,rbf,100.0,10.0,,"[76, 234, 49, 421]","[84, 227, 65, 404]","[86, 225, 49, 420]","[79, 232, 58, 411]","[124, 187, 92, 377]","[74, 236, 65, 404]",[ 852 2252  607 4084],[ 867 2237  656 4035],[ 857 2247  687 4004],[ 814 2290  595 4096],[ 916 2188  744 3947]
26,poly,100.0,10.0,2.0,"[81, 229, 165, 305]","[88, 223, 142, 327]","[74, 237, 117, 352]","[88, 223, 171, 298]","[43, 268, 103, 366]","[86, 224, 217, 252]",[ 751 2353 1360 3331],[ 640 2464 1177 3514],[ 760 2344 1293 3398],[ 788 2316 1353 3338],[ 713 2391 1293 3398]
27,poly,100.0,10.0,3.0,"[68, 242, 93, 377]","[310, 1, 467, 2]","[311, 0, 469, 0]","[79, 232, 143, 326]","[59, 252, 106, 363]","[82, 228, 187, 282]",[1140 1964 1839 2852],[1148 1956 1915 2776],[ 958 2146 1467 3224],[ 695 2409 1273 3418],[ 588 2516  993 3698]
28,linear,1000.0,,,"[96, 214, 82, 388]","[130, 181, 156, 313]","[234, 77, 241, 228]","[99, 212, 73, 396]","[12, 299, 11, 458]","[83, 227, 39, 430]",[1433 1671 1343 3348],[1350 1754 1425 3266],[1194 1910  963 3728],[1735 1369 1754 2937],[1824 1280 1758 2933]
29,rbf,1000.0,1.0,,"[141, 169, 123, 347]","[150, 161, 126, 343]","[152, 159, 102, 367]","[165, 146, 117, 352]","[165, 146, 121, 348]","[158, 152, 125, 344]",[1539 1565 1177 3514],[1603 1501 1182 3509],[1550 1554 1236 3455],[1596 1508 1172 3519],[1553 1551 1254 3437]
30,poly,1000.0,1.0,2.0,"[70, 240, 149, 321]","[75, 236, 142, 327]","[68, 243, 163, 306]","[73, 238, 174, 295]","[65, 246, 149, 320]","[96, 214, 221, 248]",[ 779 2325 1629 3062],[ 717 2387 1222 3469],[ 780 2324 1358 3333],[ 845 2259 1582 3109],[ 612 2492 1134 3557]
31,poly,1000.0,1.0,3.0,"[68, 242, 101, 369]","[69, 242, 138, 331]","[60, 251, 120, 349]","[69, 242, 121, 348]","[38, 273, 59, 410]","[78, 232, 137, 332]",[ 621 2483 1023 3668],[ 629 2475  901 3790],[ 614 2490  947 3744],[ 560 2544  945 3746],[ 613 2491 1048 3643]
32,rbf,1000.0,10.0,,"[76, 234, 49, 421]","[84, 227, 65, 404]","[86, 225, 49, 420]","[79, 232, 58, 411]","[124, 187, 92, 377]","[74, 236, 65, 404]",[ 852 2252  607 4084],[ 867 2237  656 4035],[ 857 2247  687 4004],[ 814 2290  595 4096],[ 916 2188  744 3947]
33,poly,1000.0,10.0,2.0,"[69, 241, 163, 307]","[91, 220, 159, 310]","[78, 233, 129, 340]","[77, 234, 137, 332]","[61, 250, 112, 357]","[85, 225, 112, 357]",[ 723 2381 1291 3400],[ 670 2434 1102 3589],[ 778 2326 1381 3310],[ 931 2173 1561 3130],[ 709 2395 1288 3403]
34,poly,1000.0,10.0,3.0,"[68, 242, 128, 342]","[310, 1, 467, 2]","[311, 0, 469, 0]","[69, 242, 153, 316]","[61, 250, 110, 359]","[54, 256, 119, 350]",[1049 2055 1747 2944],[1452 1652 2258 2433],[1831 1273 2817 1874],[ 933 2171 1534 3157],[ 438 2666  751 3940]
