,Kernel,C,Gamma,Degree,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
10,poly,1.0,1.0,3.0,"[161, 149, 143, 327]","[129, 182, 141, 328]","[151, 160, 150, 319]","[151, 160, 145, 324]","[157, 154, 135, 334]","[170, 140, 150, 319]",[1583 1521 1427 3264],[1540 1564 1424 3267],[1542 1562 1431 3260],[1519 1585 1413 3278],[1552 1552 1425 3266]
11,rbf,1.0,10.0,,"[0, 310, 0, 470]","[0, 311, 0, 469]","[0, 311, 0, 469]","[0, 311, 2, 467]","[0, 311, 0, 469]","[0, 310, 0, 469]",[   0 3104    6 4685],[   0 3104    6 4685],[   0 3104    2 4689],[   0 3104    4 4687],[   0 3104    4 4687]
12,poly,1.0,10.0,2.0,"[125, 185, 128, 342]","[101, 210, 157, 312]","[131, 180, 149, 320]","[123, 188, 141, 328]","[107, 204, 155, 314]","[112, 198, 132, 337]",[1177 1927 1456 3235],[1075 2029 1476 3215],[1124 1980 1504 3187],[1165 1939 1478 3213],[1150 1954 1433 3258]
13,poly,1.0,10.0,3.0,"[161, 149, 143, 327]","[133, 178, 145, 324]","[155, 156, 138, 331]","[157, 154, 148, 321]","[153, 158, 133, 336]","[177, 133, 149, 320]",[1578 1526 1390 3301],[1537 1567 1409 3282],[1533 1571 1420 3271],[1530 1574 1431 3260],[1555 1549 1424 3267]
14,linear,10.0,,,"[162, 148, 108, 362]","[153, 158, 95, 374]","[175, 136, 92, 377]","[166, 145, 77, 392]","[161, 150, 95, 374]","[162, 148, 95, 374]",[1653 1451  945 3746],[1627 1477  945 3746],[1641 1463  962 3729],[1639 1465  962 3729],[1640 1464  947 3744]
15,rbf,10.0,1.0,,"[0, 310, 1, 469]","[1, 310, 0, 469]","[0, 311, 0, 469]","[0, 311, 3, 466]","[1, 310, 1, 468]","[1, 309, 3, 466]",[   5 3099   17 4674],[   6 3098   15 4676],[   1 3103   16 4675],[   6 3098   14 4677],[   3 3101   16 4675]
16,poly,10.0,1.0,2.0,"[130, 180, 134, 336]","[109, 202, 146, 323]","[126, 185, 131, 338]","[115, 196, 132, 337]","[123, 188, 158, 311]","[112, 198, 132, 337]",[1224 1880 1387 3304],[1178 1926 1445 3246],[1241 1863 1462 3229],[1167 1937 1474 3217],[1187 1917 1448 3243]
17,poly,10.0,1.0,3.0,"[161, 149, 143, 327]","[127, 184, 143, 326]","[145, 166, 147, 322]","[152, 159, 141, 328]","[154, 157, 137, 332]","[170, 140, 150, 319]",[1558 1546 1413 3278],[1530 1574 1417 3274],[1546 1558 1453 3238],[1516 1588 1426 3265],[1543 1561 1454 3237]
18,rbf,10.0,10.0,,"[0, 310, 0, 470]","[0, 311, 0, 469]","[0, 311, 0, 469]","[0, 311, 2, 467]","[0, 311, 0, 469]","[0, 310, 0, 469]",[   0 3104    6 4685],[   0 3104    6 4685],[   0 3104    2 4689],[   0 3104    4 4687],[   0 3104    4 4687]
19,poly,10.0,10.0,2.0,"[130, 180, 140, 330]","[98, 213, 138, 331]","[107, 204, 155, 314]","[115, 196, 132, 337]","[124, 187, 152, 317]","[112, 198, 132, 337]",[1212 1892 1399 3292],[1073 2031 1470 3221],[1194 1910 1515 3176],[1132 1972 1430 3261],[1147 1957 1422 3269]
20,poly,10.0,10.0,3.0,"[161, 149, 143, 327]","[132, 179, 149, 320]","[157, 154, 149, 320]","[161, 150, 141, 328]","[153, 158, 133, 336]","[176, 134, 151, 318]",[1575 1529 1400 3291],[1534 1570 1409 3282],[1530 1574 1431 3260],[1528 1576 1434 3257],[1564 1540 1406 3285]
21,linear,100.0,,,"[182, 128, 169, 301]","[117, 194, 57, 412]","[161, 150, 104, 365]","[166, 145, 102, 367]","[141, 170, 86, 383]","[179, 131, 134, 335]",[1624 1480 1122 3569],[1631 1473 1110 3581],[1445 1659  866 3825],[1573 1531 1017 3674],[1745 1359 1187 3504]
22,rbf,100.0,1.0,,"[0, 310, 1, 469]","[1, 310, 0, 469]","[0, 311, 0, 469]","[0, 311, 3, 466]","[1, 310, 1, 468]","[1, 309, 3, 466]",[   5 3099   17 4674],[   6 3098   15 4676],[   1 3103   16 4675],[   6 3098   14 4677],[   3 3101   16 4675]
23,poly,100.0,1.0,2.0,"[130, 180, 134, 336]","[84, 227, 109, 360]","[126, 185, 131, 338]","[143, 168, 141, 328]","[117, 194, 136, 333]","[112, 198, 132, 337]",[1249 1855 1373 3318],[1119 1985 1402 3289],[1183 1921 1543 3148],[1181 1923 1477 3214],[1160 1944 1410 3281]
24,poly,100.0,1.0,3.0,"[161, 149, 143, 327]","[127, 184, 143, 326]","[154, 157, 149, 320]","[155, 156, 141, 328]","[158, 153, 139, 330]","[173, 137, 151, 318]",[1587 1517 1423 3268],[1537 1567 1434 3257],[1546 1558 1435 3256],[1526 1578 1421 3270],[1533 1571 1432 3259]
25,rbf,100.0,10.0,,"[0, 310, 0, 470]","[0, 311, 0, 469]","[0, 311, 0, 469]","[0, 311, 2, 467]","[0, 311, 0, 469]","[0, 310, 0, 469]",[   0 3104    6 4685],[   0 3104    6 4685],[   0 3104    2 4689],[   0 3104    4 4687],[   0 3104    4 4687]
26,poly,100.0,10.0,2.0,"[130, 180, 140, 330]","[97, 214, 148, 321]","[107, 204, 155, 314]","[121, 190, 134, 335]","[106, 205, 141, 328]","[112, 198, 132, 337]",[1172 1932 1403 3288],[1124 1980 1446 3245],[1150 1954 1475 3216],[1160 1944 1460 3231],[1180 1924 1490 3201]
27,poly,100.0,10.0,3.0,"[161, 149, 143, 327]","[125, 186, 138, 331]","[156, 155, 144, 325]","[149, 162, 126, 343]","[153, 158, 133, 336]","[177, 133, 154, 315]",[1554 1550 1360 3331],[1529 1575 1413 3278],[1527 1577 1446 3245],[1490 1614 1424 3267],[1555 1549 1417 3274]
28,linear,1000.0,,,"[122, 188, 131, 339]","[144, 167, 125, 344]","[156, 155, 147, 322]","[57, 254, 54, 415]","[140, 171, 121, 348]","[155, 155, 129, 340]",[1521 1583 1407 3284],[1922 1182 1989 2702],[1325 1779 1143 3548],[1479 1625 1503 3188],[1779 1325 1740 2951]
29,rbf,1000.0,1.0,,"[0, 310, 1, 469]","[1, 310, 0, 469]","[0, 311, 0, 469]","[0, 311, 3, 466]","[1, 310, 1, 468]","[1, 309, 3, 466]",[   5 3099   17 4674],[   6 3098   15 4676],[   1 3103   16 4675],[   6 3098   14 4677],[   3 3101   16 4675]
30,poly,1000.0,1.0,2.0,"[125, 185, 128, 342]","[100, 211, 158, 311]","[131, 180, 149, 320]","[123, 188, 141, 328]","[107, 204, 137, 332]","[112, 198, 132, 337]",[1208 1896 1403 3288],[1143 1961 1421 3270],[1117 1987 1478 3213],[1201 1903 1492 3199],[1169 1935 1423 3268]
31,poly,1000.0,1.0,3.0,"[161, 149, 143, 327]","[133, 178, 150, 319]","[153, 158, 141, 328]","[151, 160, 145, 324]","[163, 148, 138, 331]","[179, 131, 148, 321]",[1593 1511 1411 3280],[1528 1576 1427 3264],[1544 1560 1443 3248],[1514 1590 1406 3285],[1523 1581 1400 3291]
32,rbf,1000.0,10.0,,"[0, 310, 0, 470]","[0, 311, 0, 469]","[0, 311, 0, 469]","[0, 311, 2, 467]","[0, 311, 0, 469]","[0, 310, 0, 469]",[   0 3104    6 4685],[   0 3104    6 4685],[   0 3104    2 4689],[   0 3104    4 4687],[   0 3104    4 4687]
33,poly,1000.0,10.0,2.0,"[125, 185, 128, 342]","[105, 206, 119, 350]","[107, 204, 155, 314]","[121, 190, 134, 335]","[108, 203, 156, 313]","[112, 198, 132, 337]",[1184 1920 1384 3307],[1078 2026 1498 3193],[1162 1942 1554 3137],[1188 1916 1468 3223],[1164 1940 1418 3273]
34,poly,1000.0,10.0,3.0,"[161, 149, 143, 327]","[99, 212, 148, 321]","[139, 172, 133, 336]","[111, 200, 137, 332]","[153, 158, 133, 336]","[138, 172, 141, 328]",[1381 1723 1416 3275],[1377 1727 1460 3231],[1324 1780 1422 3269],[1363 1741 1446 3245],[1376 1728 1504 3187]
