,Kernel,C,Gamma,Degree,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
10,poly,1.0,1.0,3.0,"[110, 200, 149, 321]","[103, 208, 141, 328]","[93, 218, 153, 316]","[120, 191, 147, 322]","[82, 229, 137, 332]","[105, 205, 168, 301]",[1012 2092 1437 3254],[1058 2046 1231 3460],[1007 2097 1370 3321],[1082 2022 1347 3344],[1013 2091 1359 3332]
11,rbf,1.0,10.0,,"[3, 307, 4, 466]","[15, 296, 12, 457]","[12, 299, 13, 456]","[16, 295, 13, 456]","[31, 280, 20, 449]","[8, 302, 14, 455]",[ 142 2962  116 4575],[  99 3005   92 4599],[ 109 2995  118 4573],[ 107 2997   99 4592],[ 157 2947  140 4551]
12,poly,1.0,10.0,2.0,"[62, 248, 120, 350]","[90, 221, 149, 320]","[91, 220, 118, 351]","[87, 224, 156, 313]","[73, 238, 129, 340]","[101, 209, 146, 323]",[ 860 2244 1377 3314],[ 871 2233 1518 3173],[ 927 2177 1522 3169],[ 926 2178 1481 3210],[1015 2089 1660 3031]
13,poly,1.0,10.0,3.0,"[82, 228, 143, 327]","[87, 224, 120, 349]","[97, 214, 136, 333]","[109, 202, 144, 325]","[108, 203, 147, 322]","[112, 198, 155, 314]",[ 947 2157 1385 3306],[ 995 2109 1395 3296],[1095 2009 1317 3374],[ 998 2106 1411 3280],[1041 2063 1288 3403]
14,linear,10.0,,,"[167, 143, 99, 371]","[145, 166, 102, 367]","[173, 138, 89, 380]","[152, 159, 79, 390]","[161, 150, 94, 375]","[160, 150, 108, 361]",[1598 1506  941 3750],[1580 1524  937 3754],[1583 1521  927 3764],[1582 1522  915 3776],[1614 1490  940 3751]
15,rbf,10.0,1.0,,"[84, 226, 61, 409]","[70, 241, 63, 406]","[89, 222, 71, 398]","[125, 186, 79, 390]","[106, 205, 78, 391]","[83, 227, 66, 403]",[ 877 2227  623 4068],[ 727 2377  546 4145],[ 748 2356  541 4150],[ 697 2407  523 4168],[ 852 2252  647 4044]
16,poly,10.0,1.0,2.0,"[77, 233, 125, 345]","[77, 234, 131, 338]","[85, 226, 181, 288]","[87, 224, 196, 273]","[82, 229, 149, 320]","[110, 200, 178, 291]",[ 865 2239 1543 3148],[1020 2084 1558 3133],[ 896 2208 1492 3199],[1022 2082 1660 3031],[ 932 2172 1536 3155]
17,poly,10.0,1.0,3.0,"[120, 190, 154, 316]","[103, 208, 132, 337]","[113, 198, 137, 332]","[125, 186, 147, 322]","[92, 219, 137, 332]","[108, 202, 172, 297]",[1080 2024 1436 3255],[1030 2074 1288 3403],[ 969 2135 1304 3387],[ 999 2105 1314 3377],[ 938 2166 1271 3420]
18,rbf,10.0,10.0,,"[3, 307, 4, 466]","[15, 296, 12, 457]","[12, 299, 13, 456]","[16, 295, 13, 456]","[31, 280, 20, 449]","[8, 302, 14, 455]",[ 142 2962  116 4575],[  99 3005   92 4599],[ 109 2995  118 4573],[ 107 2997   99 4592],[ 157 2947  140 4551]
19,poly,10.0,10.0,2.0,"[71, 239, 127, 343]","[95, 216, 159, 310]","[88, 223, 152, 317]","[78, 233, 165, 304]","[90, 221, 133, 336]","[107, 203, 177, 292]",[ 975 2129 1492 3199],[ 987 2117 1470 3221],[ 941 2163 1496 3195],[ 970 2134 1484 3207],[ 901 2203 1472 3219]
20,poly,10.0,10.0,3.0,"[110, 200, 153, 317]","[104, 207, 133, 336]","[108, 203, 126, 343]","[121, 190, 152, 317]","[95, 216, 139, 330]","[108, 202, 153, 316]",[1014 2090 1348 3343],[1059 2045 1318 3373],[1019 2085 1372 3319],[1019 2085 1380 3311],[ 989 2115 1340 3351]
21,linear,100.0,,,"[165, 145, 102, 368]","[144, 167, 94, 375]","[192, 119, 112, 357]","[164, 147, 82, 387]","[168, 143, 101, 368]","[153, 157, 94, 375]",[1639 1465  959 3732],[1546 1558  923 3768],[1576 1528  951 3740],[1579 1525  947 3744],[1605 1499  979 3712]
22,rbf,100.0,1.0,,"[84, 226, 61, 409]","[70, 241, 63, 406]","[89, 222, 71, 398]","[125, 186, 79, 390]","[105, 206, 78, 391]","[83, 227, 66, 403]",[ 876 2228  623 4068],[ 727 2377  546 4145],[ 748 2356  541 4150],[ 697 2407  523 4168],[ 852 2252  647 4044]
23,poly,100.0,1.0,2.0,"[86, 224, 156, 314]","[116, 195, 177, 292]","[85, 226, 131, 338]","[136, 175, 168, 301]","[86, 225, 195, 274]","[88, 222, 199, 270]",[ 936 2168 1608 3083],[ 888 2216 1417 3274],[ 923 2181 1486 3205],[ 902 2202 1569 3122],[ 940 2164 1487 3204]
24,poly,100.0,1.0,3.0,"[93, 217, 165, 305]","[111, 200, 128, 341]","[111, 200, 144, 325]","[90, 221, 165, 304]","[89, 222, 119, 350]","[103, 207, 167, 302]",[1035 2069 1432 3259],[1168 1936 1420 3271],[1025 2079 1307 3384],[1025 2079 1385 3306],[ 926 2178 1270 3421]
25,rbf,100.0,10.0,,"[3, 307, 4, 466]","[15, 296, 12, 457]","[12, 299, 13, 456]","[16, 295, 13, 456]","[31, 280, 20, 449]","[8, 302, 14, 455]",[ 142 2962  116 4575],[  99 3005   92 4599],[ 109 2995  118 4573],[ 107 2997   99 4592],[ 157 2947  140 4551]
26,poly,100.0,10.0,2.0,"[97, 213, 141, 329]","[91, 220, 185, 284]","[110, 201, 134, 335]","[96, 215, 186, 283]","[87, 224, 133, 336]","[121, 189, 149, 320]",[ 978 2126 1488 3203],[ 973 2131 1542 3149],[1036 2068 1471 3220],[ 983 2121 1486 3205],[ 929 2175 1551 3140]
27,poly,100.0,10.0,3.0,"[115, 195, 124, 346]","[91, 220, 141, 328]","[87, 224, 143, 326]","[116, 195, 149, 320]","[89, 222, 127, 342]","[90, 220, 156, 313]",[1021 2083 1398 3293],[1123 1981 1306 3385],[1027 2077 1341 3350],[1018 2086 1260 3431],[ 998 2106 1351 3340]
28,linear,1000.0,,,"[172, 138, 164, 306]","[208, 103, 244, 225]","[149, 162, 95, 374]","[177, 134, 149, 320]","[120, 191, 84, 385]","[81, 229, 48, 421]",[1477 1627 1275 3416],[1933 1171 1919 2772],[1386 1718 1410 3281],[1686 1418 1713 2978],[1848 1256 1841 2850]
29,rbf,1000.0,1.0,,"[84, 226, 61, 409]","[70, 241, 63, 406]","[89, 222, 71, 398]","[125, 186, 79, 390]","[105, 206, 78, 391]","[83, 227, 66, 403]",[ 876 2228  623 4068],[ 727 2377  546 4145],[ 748 2356  541 4150],[ 697 2407  523 4168],[ 852 2252  647 4044]
30,poly,1000.0,1.0,2.0,"[83, 227, 181, 289]","[74, 237, 138, 331]","[88, 223, 147, 322]","[94, 217, 153, 316]","[86, 225, 146, 323]","[96, 214, 206, 263]",[ 926 2178 1611 3080],[ 930 2174 1565 3126],[ 934 2170 1503 3188],[ 951 2153 1545 3146],[ 893 2211 1401 3290]
31,poly,1000.0,1.0,3.0,"[108, 202, 147, 323]","[104, 207, 128, 341]","[96, 215, 121, 348]","[96, 215, 142, 327]","[85, 226, 145, 324]","[112, 198, 153, 316]",[ 986 2118 1339 3352],[ 997 2107 1400 3291],[1052 2052 1336 3355],[1054 2050 1338 3353],[1003 2101 1291 3400]
32,rbf,1000.0,10.0,,"[3, 307, 4, 466]","[15, 296, 12, 457]","[12, 299, 13, 456]","[16, 295, 13, 456]","[31, 280, 20, 449]","[8, 302, 14, 455]",[ 142 2962  116 4575],[  99 3005   92 4599],[ 109 2995  118 4573],[ 107 2997   99 4592],[ 157 2947  140 4551]
33,poly,1000.0,10.0,2.0,"[78, 232, 128, 342]","[81, 230, 164, 305]","[79, 232, 130, 339]","[105, 206, 185, 284]","[75, 236, 136, 333]","[120, 190, 181, 288]",[ 904 2200 1558 3133],[ 957 2147 1429 3262],[ 961 2143 1493 3198],[ 927 2177 1649 3042],[ 908 2196 1565 3126]
34,poly,1000.0,10.0,3.0,"[74, 236, 165, 305]","[110, 201, 119, 350]","[81, 230, 147, 322]","[102, 209, 149, 320]","[117, 194, 169, 300]","[114, 196, 178, 291]",[ 936 2168 1422 3269],[1105 1999 1344 3347],[1002 2102 1325 3366],[ 947 2157 1228 3463],[ 978 2126 1280 3411]
