,Kernel,C,Gamma,Degree,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
25,rbf,100.0,10.0,,"[0, 310, 1, 469]","[0, 311, 0, 469]","[0, 311, 0, 469]","[0, 311, 2, 467]","[0, 311, 1, 468]","[1, 309, 2, 467]",[   3 3101   12 4679],[   5 3099    9 4682],[   4 3100    9 4682],[   3 3101    6 4685],[   3 3101   13 4678]
26,poly,100.0,10.0,2.0,"[97, 213, 143, 327]","[79, 232, 137, 332]","[108, 203, 148, 321]","[87, 224, 135, 334]","[109, 202, 156, 313]","[120, 190, 143, 326]",[1102 2002 1470 3221],[1103 2001 1448 3243],[1048 2056 1449 3242],[1039 2065 1533 3158],[1118 1986 1471 3220]
27,poly,100.0,10.0,3.0,"[149, 161, 159, 311]","[129, 182, 149, 320]","[143, 168, 141, 328]","[152, 159, 149, 320]","[150, 161, 132, 337]","[170, 140, 143, 326]",[1503 1601 1446 3245],[1503 1601 1420 3271],[1498 1606 1407 3284],[1482 1622 1383 3308],[1488 1616 1405 3286]
28,linear,1000.0,,,"[275, 35, 343, 127]","[229, 82, 268, 201]","[291, 20, 353, 116]","[147, 164, 104, 365]","[169, 142, 202, 267]","[56, 254, 49, 420]",[1589 1515 1684 3007],[1597 1507 1723 2968],[1802 1302 1840 2851],[1904 1200 1984 2707],[1703 1401 1712 2979]
29,rbf,1000.0,1.0,,"[2, 308, 2, 468]","[2, 309, 0, 469]","[0, 311, 2, 467]","[1, 310, 3, 466]","[4, 307, 2, 467]","[1, 309, 3, 466]",[  23 3081   24 4667],[  21 3083   21 4670],[  23 3081   30 4661],[  28 3076   32 4659],[  30 3074   31 4660]
30,poly,1000.0,1.0,2.0,"[108, 202, 152, 318]","[81, 230, 134, 335]","[104, 207, 146, 323]","[87, 224, 135, 334]","[123, 188, 179, 290]","[118, 192, 160, 309]",[1054 2050 1523 3168],[1076 2028 1377 3314],[1212 1892 1445 3246],[1103 2001 1544 3147],[1120 1984 1428 3263]
31,poly,1000.0,1.0,3.0,"[148, 162, 154, 316]","[132, 179, 142, 327]","[159, 152, 146, 323]","[143, 168, 144, 325]","[155, 156, 133, 336]","[170, 140, 143, 326]",[1537 1567 1435 3256],[1533 1571 1435 3256],[1503 1601 1448 3243],[1479 1625 1405 3286],[1504 1600 1418 3273]
32,rbf,1000.0,10.0,,"[0, 310, 1, 469]","[0, 311, 0, 469]","[0, 311, 0, 469]","[0, 311, 2, 467]","[0, 311, 1, 468]","[1, 309, 2, 467]",[   3 3101   12 4679],[   5 3099    9 4682],[   4 3100    9 4682],[   3 3101    6 4685],[   3 3101   13 4678]
33,poly,1000.0,10.0,2.0,"[94, 216, 137, 333]","[95, 216, 143, 326]","[118, 193, 185, 284]","[87, 224, 135, 334]","[123, 188, 179, 290]","[104, 206, 146, 323]",[1030 2074 1526 3165],[1066 2038 1363 3328],[1152 1952 1458 3233],[1104 2000 1519 3172],[1093 2011 1423 3268]
34,poly,1000.0,10.0,3.0,"[149, 161, 159, 311]","[139, 172, 146, 323]","[146, 165, 133, 336]","[93, 218, 133, 336]","[146, 165, 141, 328]","[168, 142, 152, 317]",[1458 1646 1441 3250],[1456 1648 1428 3263],[1459 1645 1427 3264],[1410 1694 1399 3292],[1321 1783 1388 3303]
