,Kernel,C,Gamma,Degree,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
10,poly,1.0,1.0,3.0,"[1016, 40, 326, 67]","[1007, 49, 309, 84]","[1004, 52, 332, 61]","[1003, 53, 302, 91]","[1051, 5, 392, 1]","[1005, 51, 321, 72]","[999, 57, 318, 75]","[1006, 50, 334, 59]","[1006, 50, 315, 78]","[973, 83, 302, 90]"
11,rbf,1.0,10.0,,"[1016, 40, 326, 67]","[1008, 48, 309, 84]","[1003, 53, 330, 63]","[1004, 52, 302, 91]","[1015, 41, 351, 42]","[1006, 50, 322, 71]","[996, 60, 318, 75]","[1005, 51, 332, 61]","[1007, 49, 315, 78]","[973, 83, 302, 90]"
12,poly,1.0,10.0,2.0,"[924, 132, 288, 105]","[1011, 45, 344, 49]","[965, 91, 286, 107]","[986, 70, 289, 104]","[1048, 8, 391, 2]","[942, 114, 270, 123]","[1004, 52, 321, 72]","[950, 106, 303, 90]","[997, 59, 310, 83]","[973, 83, 302, 90]"
13,poly,1.0,10.0,3.0,"[1016, 40, 326, 67]","[1007, 49, 309, 84]","[1003, 53, 331, 62]","[1003, 53, 300, 93]","[1051, 5, 392, 1]","[1000, 56, 321, 72]","[996, 60, 318, 75]","[1004, 52, 332, 61]","[1004, 52, 315, 78]","[973, 83, 302, 90]"
14,linear,10.0,,,"[1008, 48, 322, 71]","[997, 59, 301, 92]","[995, 61, 321, 72]","[997, 59, 294, 99]","[1053, 3, 392, 1]","[1011, 45, 316, 77]","[990, 66, 310, 83]","[992, 64, 319, 74]","[994, 62, 307, 86]","[998, 58, 320, 72]"
15,rbf,10.0,1.0,,"[1016, 40, 326, 67]","[1007, 49, 309, 84]","[1003, 53, 330, 63]","[1003, 53, 300, 93]","[1015, 41, 351, 42]","[1005, 51, 320, 73]","[996, 60, 318, 75]","[1004, 52, 332, 61]","[1006, 50, 315, 78]","[973, 83, 302, 90]"
16,poly,10.0,1.0,2.0,"[1010, 46, 326, 67]","[1010, 46, 314, 79]","[1003, 53, 331, 62]","[1010, 46, 311, 82]","[1056, 0, 393, 0]","[1005, 51, 316, 77]","[1003, 53, 320, 73]","[972, 84, 319, 74]","[1009, 47, 324, 69]","[973, 83, 302, 90]"
17,poly,10.0,1.0,3.0,"[1016, 40, 326, 67]","[1007, 49, 309, 84]","[1002, 54, 330, 63]","[1003, 53, 300, 93]","[1051, 5, 392, 1]","[1004, 52, 321, 72]","[997, 59, 317, 76]","[1004, 52, 331, 62]","[1005, 51, 315, 78]","[973, 83, 302, 90]"
18,rbf,10.0,10.0,,"[1016, 40, 326, 67]","[1008, 48, 309, 84]","[1003, 53, 330, 63]","[1004, 52, 302, 91]","[1015, 41, 351, 42]","[1006, 50, 322, 71]","[996, 60, 318, 75]","[1005, 51, 332, 61]","[1007, 49, 315, 78]","[973, 83, 302, 90]"
19,poly,10.0,10.0,2.0,"[945, 111, 330, 63]","[945, 111, 270, 123]","[967, 89, 305, 88]","[932, 124, 296, 97]","[1048, 8, 391, 2]","[942, 114, 270, 123]","[943, 113, 272, 121]","[942, 114, 315, 78]","[974, 82, 288, 105]","[973, 83, 302, 90]"
20,poly,10.0,10.0,3.0,"[1016, 40, 326, 67]","[1007, 49, 309, 84]","[1002, 54, 330, 63]","[1003, 53, 300, 93]","[118, 938, 40, 353]","[1006, 50, 322, 71]","[996, 60, 318, 75]","[1004, 52, 332, 61]","[1005, 51, 315, 78]","[973, 83, 302, 90]"
21,linear,100.0,,,"[1008, 48, 322, 71]","[997, 59, 301, 92]","[995, 61, 321, 72]","[997, 59, 294, 99]","[1053, 3, 392, 1]","[1011, 45, 316, 77]","[990, 66, 310, 83]","[992, 64, 319, 74]","[994, 62, 307, 86]","[998, 58, 320, 72]"
22,rbf,100.0,1.0,,"[1016, 40, 326, 67]","[1007, 49, 309, 84]","[1003, 53, 330, 63]","[1003, 53, 300, 93]","[1015, 41, 351, 42]","[1005, 51, 320, 73]","[996, 60, 318, 75]","[1004, 52, 332, 61]","[1006, 50, 315, 78]","[973, 83, 302, 90]"
23,poly,100.0,1.0,2.0,"[951, 105, 306, 87]","[978, 78, 299, 94]","[968, 88, 286, 107]","[986, 70, 289, 104]","[1048, 8, 391, 2]","[985, 71, 310, 83]","[946, 110, 275, 118]","[910, 146, 311, 82]","[1003, 53, 322, 71]","[973, 83, 302, 90]"
24,poly,100.0,1.0,3.0,"[1016, 40, 326, 67]","[1007, 49, 309, 84]","[1002, 54, 330, 63]","[1003, 53, 300, 93]","[121, 935, 41, 352]","[997, 59, 321, 72]","[996, 60, 318, 75]","[1004, 52, 331, 62]","[1004, 52, 315, 78]","[973, 83, 302, 90]"
25,rbf,100.0,10.0,,"[1016, 40, 326, 67]","[1008, 48, 309, 84]","[1003, 53, 330, 63]","[1004, 52, 302, 91]","[1015, 41, 351, 42]","[1006, 50, 322, 71]","[996, 60, 318, 75]","[1005, 51, 332, 61]","[1007, 49, 315, 78]","[973, 83, 302, 90]"
26,poly,100.0,10.0,2.0,"[999, 57, 318, 75]","[947, 109, 275, 118]","[812, 244, 277, 116]","[943, 113, 323, 70]","[1048, 8, 391, 2]","[890, 166, 290, 103]","[967, 89, 283, 110]","[841, 215, 290, 103]","[984, 72, 323, 70]","[973, 83, 302, 90]"
27,poly,100.0,10.0,3.0,"[1016, 40, 326, 67]","[1007, 49, 309, 84]","[1002, 54, 330, 63]","[1003, 53, 300, 93]","[41, 1015, 13, 380]","[1008, 48, 322, 71]","[997, 59, 317, 76]","[1004, 52, 332, 61]","[1005, 51, 315, 78]","[973, 83, 302, 90]"
28,linear,1000.0,,,"[974, 82, 279, 114]","[698, 358, 176, 217]","[869, 187, 246, 147]","[458, 598, 116, 277]","[1056, 0, 393, 0]","[1052, 4, 390, 3]","[957, 99, 277, 116]","[935, 121, 288, 105]","[914, 142, 241, 152]","[973, 83, 299, 93]"
29,rbf,1000.0,1.0,,"[1016, 40, 326, 67]","[1007, 49, 309, 84]","[1003, 53, 330, 63]","[1003, 53, 300, 93]","[1015, 41, 351, 42]","[1005, 51, 320, 73]","[996, 60, 318, 75]","[1004, 52, 332, 61]","[1006, 50, 315, 78]","[973, 83, 302, 90]"
30,poly,1000.0,1.0,2.0,"[1008, 48, 323, 70]","[947, 109, 275, 118]","[952, 104, 281, 112]","[907, 149, 228, 165]","[8, 1048, 2, 391]","[897, 159, 284, 109]","[965, 91, 282, 111]","[1022, 34, 361, 32]","[955, 101, 285, 108]","[973, 83, 302, 90]"
31,poly,1000.0,1.0,3.0,"[1016, 40, 326, 67]","[1007, 49, 309, 84]","[1002, 54, 330, 63]","[1003, 53, 300, 93]","[481, 575, 174, 219]","[998, 58, 320, 73]","[996, 60, 318, 75]","[1004, 52, 332, 61]","[1004, 52, 315, 78]","[973, 83, 302, 90]"
32,rbf,1000.0,10.0,,"[1016, 40, 326, 67]","[1008, 48, 309, 84]","[1003, 53, 330, 63]","[1004, 52, 302, 91]","[1015, 41, 351, 42]","[1006, 50, 322, 71]","[996, 60, 318, 75]","[1005, 51, 332, 61]","[1007, 49, 315, 78]","[973, 83, 302, 90]"
33,poly,1000.0,10.0,2.0,"[673, 383, 238, 155]","[945, 111, 270, 123]","[812, 244, 277, 116]","[907, 149, 228, 165]","[1048, 8, 391, 2]","[897, 159, 284, 109]","[967, 89, 283, 110]","[890, 166, 294, 99]","[969, 87, 277, 116]","[973, 83, 302, 90]"
34,poly,1000.0,10.0,3.0,"[1016, 40, 326, 67]","[1007, 49, 309, 84]","[1002, 54, 330, 63]","[1003, 53, 300, 93]","[41, 1015, 13, 380]","[995, 61, 317, 76]","[996, 60, 317, 76]","[1004, 52, 332, 61]","[1005, 51, 315, 78]","[973, 83, 302, 90]"
