,Kernel,C,Gamma,Degree,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
23,poly,100.0,1.0,2.0,"[910, 146, 276, 117]","[10, 1046, 5, 388]","[966, 90, 249, 144]","[975, 81, 335, 58]","[982, 74, 282, 111]","[924, 132, 254, 139]","[963, 93, 289, 104]","[972, 84, 323, 70]","[1021, 35, 333, 60]","[955, 101, 285, 107]"
24,poly,100.0,1.0,3.0,"[996, 60, 322, 71]","[1051, 5, 390, 3]","[1014, 42, 315, 78]","[1005, 51, 318, 75]","[1010, 46, 310, 83]","[1006, 50, 308, 85]","[1004, 52, 328, 65]","[993, 63, 328, 65]","[1011, 45, 330, 63]","[993, 63, 313, 79]"
25,rbf,100.0,10.0,,"[996, 60, 322, 71]","[993, 63, 342, 51]","[1016, 40, 315, 78]","[1005, 51, 318, 75]","[1010, 46, 310, 83]","[1006, 50, 309, 84]","[1006, 50, 330, 63]","[994, 62, 328, 65]","[1012, 44, 330, 63]","[993, 63, 314, 78]"
26,poly,100.0,10.0,2.0,"[986, 70, 328, 65]","[1045, 11, 388, 5]","[984, 72, 265, 128]","[911, 145, 323, 70]","[972, 84, 299, 94]","[971, 85, 271, 122]","[966, 90, 310, 83]","[871, 185, 274, 119]","[966, 90, 312, 81]","[946, 110, 273, 119]"
27,poly,100.0,10.0,3.0,"[996, 60, 322, 71]","[1051, 5, 390, 3]","[1014, 42, 315, 78]","[1007, 49, 321, 72]","[1010, 46, 310, 83]","[1006, 50, 308, 85]","[1004, 52, 328, 65]","[993, 63, 328, 65]","[1011, 45, 330, 63]","[993, 63, 313, 79]"
28,linear,1000.0,,,"[550, 506, 137, 256]","[1056, 0, 393, 0]","[640, 416, 139, 254]","[382, 674, 85, 308]","[1007, 49, 318, 75]","[851, 205, 224, 169]","[352, 704, 70, 323]","[939, 117, 289, 104]","[920, 136, 262, 131]","[367, 689, 75, 317]"
29,rbf,1000.0,1.0,,"[996, 60, 322, 71]","[993, 63, 342, 51]","[1015, 41, 315, 78]","[1005, 51, 318, 75]","[1010, 46, 310, 83]","[1006, 50, 309, 84]","[1004, 52, 328, 65]","[993, 63, 328, 65]","[1011, 45, 330, 63]","[993, 63, 314, 78]"
30,poly,1000.0,1.0,2.0,"[1002, 54, 339, 54]","[5, 1051, 3, 390]","[993, 63, 315, 78]","[816, 240, 241, 152]","[979, 77, 311, 82]","[919, 137, 280, 113]","[1015, 41, 334, 59]","[982, 74, 333, 60]","[920, 136, 296, 97]","[951, 105, 275, 117]"
31,poly,1000.0,1.0,3.0,"[996, 60, 322, 71]","[1051, 5, 390, 3]","[1014, 42, 315, 78]","[1005, 51, 318, 75]","[1010, 46, 310, 83]","[1006, 50, 308, 85]","[1004, 52, 328, 65]","[993, 63, 328, 65]","[1011, 45, 330, 63]","[993, 63, 313, 79]"
32,rbf,1000.0,10.0,,"[996, 60, 322, 71]","[993, 63, 342, 51]","[1016, 40, 315, 78]","[1005, 51, 318, 75]","[1010, 46, 310, 83]","[1006, 50, 309, 84]","[1006, 50, 330, 63]","[994, 62, 328, 65]","[1012, 44, 330, 63]","[993, 63, 314, 78]"
33,poly,1000.0,10.0,2.0,"[867, 189, 287, 106]","[1045, 11, 388, 5]","[983, 73, 266, 127]","[963, 93, 280, 113]","[1002, 54, 325, 68]","[919, 137, 280, 113]","[1014, 42, 337, 56]","[940, 116, 306, 87]","[985, 71, 304, 89]","[979, 77, 303, 89]"
34,poly,1000.0,10.0,3.0,"[996, 60, 322, 71]","[1051, 5, 390, 3]","[1014, 42, 315, 78]","[1005, 51, 318, 75]","[1010, 46, 310, 83]","[1006, 50, 308, 85]","[1004, 52, 328, 65]","[993, 63, 328, 65]","[1011, 45, 330, 63]","[993, 63, 313, 79]"
