,P_values,LowerCI,UpperCI,Coefficients
const,0.0,-1.4724052120211073,-1.3289763295476684,0.24642668078348332
V025,1.0375012016934915e-42,0.500753593072734,0.6679746604499606,1.7938499617202428
const,0.0,-0.9358200687693637,-0.851963305450698,0.40906071476019695
HannahToilet,1.4148703275390306e-17,-0.4650351369119426,-0.2913238052764347,0.6851075326330781
const,0.0,-1.030925085900748,-0.9568708174147699,0.37013112225221695
HIV,0.04707701166012733,0.0033224055458250246,0.5112089127703245,1.293388681671315
const,0.0,-1.3576702673764567,-1.247940914912519,0.27176825184192954
HouseholdAmenities,3.071444254852254e-59,0.5406244134516317,0.6891272139968293,1.8494269118561009
const,0.0,-1.0014621901999825,-0.9256550292809272,0.38153274116917973
TransportationAccess,3.046901384081339e-06,-0.5033599604185331,-0.205644979082472,0.7015223850040643
const,1.8832698004927412e-296,-1.4442640146267587,-1.2981986149908338,0.25379426644182096
HannahFloor,5.793746561180491e-35,0.4477083048663073,0.6168459104186674,1.7028053683760063
const,0.0,-1.0316254244766616,-0.9438638918975949,0.37241566920565855
V151,0.9390242379100222,-0.08278652668723578,0.07656704379928188,0.9968950887937199
const,0.0,-1.1373525836558087,-1.0489130621511562,0.3351648351648357
V404,2.1636489353171303e-18,0.2749519295620076,0.4337203013499196,1.4252341492079073
const,0.0,-1.068711434824606,-0.9919013312588474,0.35689759644516256
V213,5.819759465505039e-15,0.38945659369379226,0.6505178395412706,1.682006147833551
const,1.8379115949861149e-202,-0.9100018996438242,-0.7996332714266261,0.42536077596404037
V216,4.98448266543187e-10,-0.30821999045520987,-0.16051024730996555,0.7910729274961557
const,1.7114207488441654e-291,-0.8700512627191586,-0.7813462344483249,0.43792888334373054
HannahMaritalStatus,1.1743268481729371e-32,-0.562205195434313,-0.4032075999527196,0.6171109819856203
const,8.477000320922086e-22,-1.1755317383129829,-0.7767061191101032,0.37677053824362605
MaternalIronRecode,0.8999961331034971,-0.21587094236403137,0.1898570424397582,0.9870772748467626
