,P_values,LowerCI,UpperCI,Coefficients
HannahFloor,0.7509313513970547,-0.13044052530542594,0.18085392704167225,1.025527075954872
V151,0.8665359829097783,-0.10775954788106021,0.0907389864312258,0.9915258292062693
V404,0.26505671931588515,-0.05351883030496718,0.19462255490105837,1.0731002214310967
V213,0.015436992873073983,0.040181521521377134,0.38111133305857114,1.2344758009347316
V216,0.16178194634738619,-0.02710372361558072,0.16232778108542723,1.069950118042137
HannahMaritalStatus,0.05044447036613106,-0.28325247598365555,0.00027401112312744336,0.8680645224798511
MaternalIronRecode,0.254846370049839,-0.09125748447846377,0.34429541008368314,1.1348709713062461
WaterTime_1.0,0.07040398310018466,-0.01724107372099215,0.43133990429515756,1.230043353224398
WaterTime_2.0,0.35304096301142984,-0.11944111879894713,0.3345684827609581,1.1135617723082503
MaternalOccRecode_1.0,0.06232715633786708,-0.0066562540653063995,0.265127847194389,1.1379584192188053
MaternalOccRecode_2.0,0.14611484275682954,-0.026107397655651413,0.17591560569351228,1.077780791082477
HusbandOccNew_1.0,0.6430067933876779,-0.0894959809613751,0.1449350162618734,1.0281072780317266
HusbandOccNew_2.0,0.7265373806349478,-0.1396060089444805,0.20024974857047695,1.0307862595450268
HannahReligion_1.0,0.012535235251111658,-0.7094199072750293,-0.08543965042656204,0.6720451327722377
HannahReligion_2.0,0.4352462615164052,-0.4259231177153285,0.18336891748726486,0.88578847349532
HannahReligion_3.0,0.2049765118853597,-0.5069099078157632,0.1087593129248248,0.819488185642768
HannahHouseholdNum_1.0,0.018893217969343106,0.01926804738634276,0.21409844552198876,1.1237634172623174
HannahHouseholdNum_2.0,0.43991476659880024,-0.11419836755242549,0.26272926892009363,1.0770926825405458
V158_1.0,0.2561396192198253,-0.05306022712125319,0.1992347133417593,1.0758243910865435
V158_2.0,0.9164940957917502,-0.12524470973651694,0.1394023637614961,1.007103941132957
V157_1.0,0.014399650971748572,-0.3585037426181032,-0.03962991033956004,0.8194951275292507
V157_2.0,0.595130582952503,-0.16462424990604585,0.2871037832081619,1.0631537924546963
V159_1.0,0.5684736736385613,-0.10669362652591892,0.1942651571438695,1.0447585073953234
V159_2.0,0.6122029810619833,-0.20955779138109815,0.12343219519141575,0.9578512369454782
V190_1.0,0.22753989629754412,-0.0884471639785259,0.3718374660425612,1.1522253402858775
V190_2.0,0.5070789927048225,-0.1487511144265154,0.3009686365347421,1.0790799296459357
V190_3.0,0.5625845238995977,-0.1542995274664925,0.2836887604290669,1.0668331813623766
V190_4.0,0.5184381158919839,-0.2754848358026549,0.13894234187241478,0.9340070926250847
HannahRecentBirths_1.0,0.057869828034836736,-0.00463593437088286,0.28253474457394745,1.1490659616572028
HannahRecentBirths_2.0,0.055053029477730636,-0.005395767148725222,0.5041873811950633,1.2832498518679083
HannahAllChildrenBorn_1.0,0.05926567000753545,-0.006639580980703913,0.34628069940750017,1.1850921783671533
HannahAllChildrenBorn_2.0,0.03362354230343968,0.018437366238839653,0.45753783388850333,1.2686934610092373
HannahContraception_1.0,0.13135994058406278,-0.6314444556396617,0.08213675619854499,0.759835094838902
HannahContraception_2.0,0.07979599351142383,-0.03664217518169982,0.6536006132828627,1.3613532190412574
HannahContraception_3.0,3.973563023334107e-09,-0.48575724485397265,-0.24304574298297868,0.6946122561540397
HannahBMI_1.0,0.032839385174459994,-0.19613667824451347,-0.008339750094972842,0.9028144628535913
HannahBMI_2.0,0.00012459573088936525,-0.46520317657853083,-0.1506258377885684,0.7349781506752904
V106_1.0,0.1357946295160798,-0.1902512576591106,0.02581412001631868,0.921070619374202
V106_2.0,0.49750644449157666,-0.21947942281733285,0.10660808157971724,0.9451272819927916
V106_3.0,0.09770375679731826,-0.41534928789128345,0.03490384968932039,0.8267749748571364
HannahWater_1.0,0.4935721260174194,-0.15908778012175262,0.32989530692961044,1.0891567395630974
HannahWater_2.0,0.40277647963009733,-0.05540561044312231,0.1379423088109924,1.0421317232236935
V013_1.0,0.05073473233888979,-0.000813058697488489,0.5093481637272801,1.289516771572546
V013_2.0,0.03489473739575923,0.018214690587286364,0.4954451547822411,1.292825227816156
V013_3.0,0.06366747432288732,-0.01180018670202973,0.4267993249957598,1.2305971866333225
V013_4.0,0.06479760907783244,-0.012031017886561524,0.4041709958037491,1.2166120517651422
V013_5.0,0.11141197915420877,-0.03838736126637937,0.3704191486868426,1.1805918655591752
V013_6.0,0.2066727054178168,-0.0747770915493112,0.34565082028078464,1.1450369009212726
V024_1.0,3.110652009003882e-09,-1.0161535768300731,-0.5110249940561515,0.4659908475765143
V024_2.0,0.12439976887795172,-0.4870902142589525,0.05898228784935097,0.8073048190919241
V024_3.0,1.114433900215054e-09,-1.2312145441715938,-0.6318308223763929,0.3939533872031407
V024_4.0,1.2953932425570472e-05,-0.9878006025431669,-0.3752073939691302,0.5058556139919301
V024_5.0,1.23846336617852e-05,0.33158047604950863,0.8707391311296142,1.8242333262961485
V024_6.0,1.5637031282158556e-06,-1.2053161996711614,-0.5066860842846093,0.42485763528362364
V024_7.0,6.032567674039715e-08,-1.2920998658000569,-0.6055889302730931,0.3871882004700969
V024_8.0,0.0029332302962608056,-0.935694611876711,-0.19240334182063668,0.5689009275221526
V024_9.0,0.020057331514676036,-0.6760898267382891,-0.057635580344569726,0.6929047718852596
V024_10.0,0.05022429952458518,-0.7899852231564002,0.0003861788342475747,0.6738151107062268
