,MRMR4,IG-784,IG-781,MRMR3,MRMR2,IG-780,IG-782,MRMR0,MRMR1,IG-783,CFS1,CFS0,CFS2,CFS3,CFS4,IG-201,IG-604,IG-200,IG-202,IG-404,IG-203,IG-401,IG-603,IG-602,IG-400,IG-204,IG-402,IG-600,IG-601,IG-403
25,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.4,0.2,0.2,0.1,0.1,0.1,1.0,0.1,0.4,0.6,0.2,0.8,0.8,1.0,0.4,0.0,0.6,0.9,0.9,0.5
26,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.2,0.7,0.2,0.5,0.7,0.7,0.4,0.3,0.5,0.7,0.7,0.7
27,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.1,0.2,0.0,0.2,0.4,0.8,0.2,0.0,0.3,0.6,0.9,0.2
28,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.3,0.5,0.2,0.6,0.9,0.8,0.4,0.0,0.5,0.8,1.0,0.5
29,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1,0.0,0.1,0.0,0.5,0.3,0.4,0.2,0.0,0.2,0.4,0.6,0.1
30,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.1,0.1,0.1,0.1,0.0,0.5,1.0,0.4,0.2,0.9,0.2,0.6,1.0,0.8,0.9,0.3,0.6,1.0,0.9,0.5
31,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.1,0.3,0.2,0.4,0.8,1.0,0.4,0.1,0.5,0.8,0.7,0.3
32,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.7,0.3,0.1,0.3,0.0,0.2,1.0,0.8,0.5,0.1,0.6,0.8,0.8,0.6
33,0.0,1.0,1.0,0.1,0.0,1.0,1.0,0.1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
34,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.1,0.0,0.2,0.0,0.3,0.6,0.8,0.2,0.0,0.5,0.6,0.5,0.1
35,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
36,0.0,1.0,1.0,0.1,0.0,1.0,1.0,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.1,0.0,0.5,0.1,0.2,0.9,0.8,0.6,0.0,0.7,0.9,0.8,0.3
37,0.1,1.0,1.0,0.1,0.2,1.0,1.0,0.2,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.4,0.0,0.1,0.8,0.5,0.2,0.2,0.1,0.7,0.5,0.3
38,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.0,0.2,0.1,0.0,0.5,0.5,0.7,0.3,0.0,0.6,0.6,0.7,0.2
39,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.9,0.0,0.0,0.4,0.0,0.5,0.6,1.0,0.4,0.0,0.7,0.6,0.9,0.4
40,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.8,0.7,0.7,0.7,0.5,0.3,0.8,0.1,0.1,0.4,0.3,0.9,0.9,1.0,0.5,0.3,0.9,0.9,0.9,0.6
41,0.0,1.0,1.0,0.1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.3,0.0,0.0,0.7,0.6,0.2
42,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.1,0.2,0.0,0.1,0.7,0.4,0.3,0.0,0.1,0.9,0.3,0.2
43,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.9,0.7,0.1,0.8,0.3,0.6,1.0,1.0,1.0,0.2,0.6,1.0,0.9,0.6
44,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
45,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.1,0.0,0.1,0.0,0.1,0.7,0.8,0.2,0.0,0.3,0.8,0.2,0.2
46,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.6,0.0,0.0,0.2,0.1,0.2,0.7,0.6,0.3,0.0,0.1,0.7,0.5,0.4
47,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.6,0.1,0.1,0.4,0.1,0.3,0.6,0.6,0.4,0.1,0.4,0.6,0.4,0.3
