,P_values,LowerCI,UpperCI,Coefficients
ReligionRecode_3.0,0.005081847295539789,0.12842837341186542,0.7264431464868203,1.5333206759065945
const,1.7945573380533857e-15,0.26755795815971645,0.4425105508028307,1.426229508196723
HouseholdNumGroup_1.0,0.21328378597375441,-0.03779645015848025,0.16931009836871536,1.0679669817600839
HouseholdNumGroup_2.0,0.032312612625598466,0.01873329078030625,0.4254346474275369,1.2486762236859081
const,9.456922349210094e-76,0.43938778818679886,0.5440411851305225,1.6351172047766451
V158_1.0,3.441279905058534e-05,-0.436889237595079,-0.15623468226084905,0.7433695667123608
V158_2.0,5.341243147618803e-07,-0.4965901433168252,-0.21745181439109557,0.6997578174635637
const,1.988133324185559e-77,0.4331231068438599,0.5349973768027305,1.6226493940660278
V159_1.0,0.0236207392562296,-0.3594394310041801,-0.02581220850174676,0.8247905367332824
V159_2.0,6.265929892863641e-11,-0.6089012179600547,-0.32800347035455435,0.625970305595985
const,1.2699485932869772e-74,0.39196409957680894,0.4861297415502846,1.5512280701754382
V157_1.0,2.610487125136593e-05,-0.6363007783055036,-0.2317174747616759,0.647906342319371
V157_2.0,0.263305660709905,-0.5551580144536101,0.15172054593884937,0.8173247810773261
const,0.1298020641879348,-0.023683374006043492,0.18490135634640348,1.0839469808541973
V190_1.0,4.205531724066843e-31,0.6471351004847818,0.9103272240335041,2.178706086444412
V190_2.0,0.00018206754876730436,0.13591989240241892,0.4347874555210574,1.330232413502756
V190_3.0,0.6087063421756993,-0.11497490677620872,0.196268156440402,1.041484005925215
V190_4.0,0.7423799676322931,-0.1356252672668879,0.190282958270781,1.027705703599813
const,1.0926407490383502e-14,0.2399302933503277,0.402986186927337,1.3791374122367088
BirthSizeGrouped_1.0,0.6202446546817341,-0.07985738687059435,0.13389726006203814,1.0273882851842049
BirthSizeGrouped_2.0,1.7672285717524159e-07,0.20389511500287721,0.44889021600899676,1.3859594805194821
BirthSizeGrouped_3.0,0.15153880753003574,-0.8293892552792889,0.12849770125511906,0.7043740259740264
const,2.0396931613275204e-15,-0.6612180593536148,-0.3993773950039972,0.5884297520661187
HeightNew_1.0,1.128244700333142e-86,1.5913063116395492,1.9422811347810547,5.852059925093603
HeightNew_2.0,3.0561264096820643e-35,0.7558448516042424,1.0399840752721745,2.454478864200635
