,Feature,Feature Selection,Probability
299,21,IG-20,0.04
300,22,IG-20,0.08
301,23,IG-20,0.06000000000000001
302,24,IG-20,0.04
303,25,IG-20,0.08
304,26,IG-20,0.08
305,27,IG-20,0.04
306,28,IG-20,0.08
307,29,IG-20,0.72
308,30,IG-20,0.06000000000000001
309,31,IG-20,0.06000000000000001
310,32,IG-20,0.04
311,33,IG-20,0.38
312,34,IG-20,0.5
313,35,IG-20,0.02
314,36,IG-20,0.16
315,37,IG-20,0.0
316,38,IG-20,0.1
317,39,IG-20,0.22000000000000003
318,40,IG-20,0.4
319,41,IG-20,0.08
320,42,IG-20,0.9199999999999999
321,43,IG-20,0.22000000000000003
322,44,IG-20,0.06000000000000001
323,45,IG-20,0.06000000000000001
324,46,IG-20,0.08
325,47,IG-20,0.06000000000000001
326,48,IG-20,0.1
327,49,IG-20,0.06000000000000001
328,50,IG-20,0.08
329,51,IG-20,0.02
330,52,IG-20,0.06000000000000001
331,53,IG-20,0.02
332,54,IG-20,0.15999999999999998
333,55,IG-20,0.52
334,56,IG-20,0.06000000000000001
335,57,IG-20,0.1
336,58,IG-20,0.06000000000000001
337,59,IG-20,0.02
338,60,IG-20,0.0
339,61,IG-20,0.13999999999999999
340,62,IG-20,0.9
341,63,IG-20,0.08
342,64,IG-20,0.96
343,65,IG-20,0.04
344,66,IG-20,0.08
345,67,IG-20,0.06000000000000001
346,68,IG-20,0.06000000000000001
347,69,IG-20,0.06000000000000001
348,70,IG-20,0.18
349,71,IG-20,0.15999999999999998
350,72,IG-20,0.06000000000000001
351,73,IG-20,0.6399999999999999
352,74,IG-20,0.08
353,75,IG-20,0.08
354,76,IG-20,0.2
355,77,IG-20,0.02
356,78,IG-20,0.08
357,79,IG-20,0.02
358,80,IG-20,0.8400000000000001
359,81,IG-20,0.02
360,82,IG-20,1.0
361,83,IG-20,0.52
362,84,IG-20,0.8200000000000001
363,85,IG-20,0.08
364,86,IG-20,0.02
365,87,IG-20,0.04
366,88,IG-20,0.08
367,89,IG-20,0.04
368,90,IG-20,0.1
369,91,IG-20,0.04
370,92,IG-20,0.08
371,93,IG-20,0.04
372,1,IG-60,0.58
373,2,IG-60,1.0
374,3,IG-60,0.9199999999999999
375,4,IG-60,0.6199999999999999
376,5,IG-60,0.9
377,6,IG-60,0.7
378,7,IG-60,0.8400000000000001
379,8,IG-60,0.9400000000000001
380,9,IG-60,0.6199999999999999
381,10,IG-60,1.0
382,11,IG-60,0.9800000000000001
383,12,IG-60,0.86
384,13,IG-60,0.9
385,14,IG-60,0.6199999999999999
386,15,IG-60,0.86
387,16,IG-60,0.66
388,17,IG-60,0.6
389,18,IG-60,0.54
390,19,IG-60,0.8200000000000001
391,20,IG-60,0.5800000000000001
392,21,IG-60,0.45999999999999996
393,22,IG-60,0.5
394,23,IG-60,0.58
395,24,IG-60,0.45999999999999996
396,25,IG-60,0.41999999999999993
397,26,IG-60,0.48
398,27,IG-60,0.4
399,28,IG-60,0.5
400,29,IG-60,1.0
401,30,IG-60,0.43999999999999995
402,31,IG-60,0.58
403,32,IG-60,0.6
404,33,IG-60,0.9400000000000001
405,34,IG-60,0.96
406,35,IG-60,0.38000000000000006
407,36,IG-60,0.6799999999999999
408,37,IG-60,0.44000000000000006
409,38,IG-60,0.5800000000000001
410,39,IG-60,0.82
411,40,IG-60,0.96
412,41,IG-60,0.4800000000000001
413,42,IG-60,1.0
414,43,IG-60,0.8400000000000001
415,44,IG-60,0.62
416,45,IG-60,0.38
417,46,IG-60,0.44000000000000006
418,47,IG-60,0.5599999999999999
419,48,IG-60,0.52
420,49,IG-60,0.52
421,50,IG-60,0.6199999999999999
422,51,IG-60,0.5
423,52,IG-60,0.5599999999999999
424,53,IG-60,0.38
425,54,IG-60,0.74
426,55,IG-60,0.86
427,56,IG-60,0.54
428,57,IG-60,0.5599999999999999
429,58,IG-60,0.58
430,59,IG-60,0.42000000000000004
431,60,IG-60,0.6
432,61,IG-60,0.5599999999999998
433,62,IG-60,0.9800000000000001
434,63,IG-60,0.5800000000000001
435,64,IG-60,1.0
436,65,IG-60,0.45999999999999996
437,66,IG-60,0.36
438,67,IG-60,0.43999999999999995
