,IG-803,IG-802,MRMR4,IG-800,IG-801,MRMR3,IG-804,MRMR2,MRMR0,MRMR1,CFS1,CFS0,IG-934,CFS2,CFS3,IG-933,IG-932,IG-930,CFS4,IG-931,IG-201,IG-604,IG-200,IG-202,IG-404,IG-203,IG-401,IG-603,IG-602,IG-400,IG-204,IG-402,IG-600,IG-601,IG-403
54,1.0,0.8,0.2,0.9,1.0,0.1,0.9,0.0,0.1,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.9,0.9,0.4,0.6,0.6,0.7,1.0,0.7,0.9,0.2,0.7,0.9,0.8,0.9
55,0.4,0.7,0.0,0.9,1.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.2,0.6,0.0,0.0,0.3,0.0,0.3,0.4,0.6,0.2,0.1,0.2,0.5,0.6,0.1
56,0.8,0.7,0.0,0.7,0.5,0.0,0.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.1,0.6,0.1,0.2,0.4,0.0,0.3,0.6,0.7,0.5,0.1,0.4,0.6,0.3,0.2
57,1.0,0.8,0.0,0.5,0.5,0.0,0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5,0.1,0.0,0.4,0.1,0.1,0.9,0.8,0.3,0.1,0.3,0.4,0.3,0.2
58,0.6,0.7,0.0,0.7,0.7,0.0,0.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5,0.1,0.0,0.2,0.0,0.2,0.5,0.4,0.2,0.0,0.3,0.3,0.4,0.3
59,0.7,0.8,0.0,0.6,0.8,0.0,0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.4,0.0,0.0,0.0,0.0,0.4,0.5,0.7,0.3,0.0,0.4,0.6,0.8,0.2
60,0.7,0.6,0.0,0.8,0.9,0.0,0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.1,0.7,0.2,0.1,0.5,0.1,0.3,0.6,0.4,0.5,0.2,0.3,0.7,0.4,0.5
61,0.9,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.9,1.0,0.8,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,0.9
62,0.9,0.7,0.0,0.8,0.9,0.0,0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.2,0.5,0.0,0.0,0.2,0.2,0.3,0.8,0.4,0.2,0.0,0.0,0.6,0.6,0.5
63,1.0,1.0,0.2,1.0,1.0,0.3,1.0,0.4,0.3,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
64,0.7,0.5,0.0,0.5,0.9,0.0,0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.2,0.6,0.0,0.0,0.4,0.0,0.6,0.4,0.5,0.1,0.0,0.2,0.2,0.6,0.2
65,0.4,0.8,0.0,0.5,0.8,0.0,0.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.2,0.6,0.0,0.0,0.2,0.1,0.4,0.3,0.3,0.1,0.1,0.2,0.1,0.5,0.2
66,0.9,0.9,0.0,0.8,0.9,0.0,0.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.2,0.7,0.0,0.0,0.4,0.0,0.3,0.3,0.5,0.2,0.1,0.0,0.4,0.3,0.2
67,0.9,0.8,0.0,0.9,0.9,0.0,0.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.4,0.0,0.2,0.3,0.1,0.4,0.6,0.8,0.2,0.0,0.5,0.7,0.6,0.6
68,0.9,1.0,0.0,1.0,1.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7,0.1,0.0,0.2,0.1,0.1,0.8,0.5,0.5,0.1,0.1,0.6,0.6,0.6
69,1.0,1.0,0.0,0.9,1.0,0.0,1.0,0.0,0.0,0.0,0.1,0.0,1.0,0.1,0.0,1.0,1.0,1.0,0.1,1.0,0.2,0.7,0.1,0.2,0.4,0.1,0.5,0.6,0.7,0.1,0.3,0.4,0.5,0.8,0.1
70,0.9,1.0,0.0,1.0,1.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.2,0.7,0.1,0.2,0.5,0.2,0.5,0.7,0.8,0.2,0.1,0.5,0.5,0.8,0.4
71,1.0,1.0,0.0,0.8,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8,0.1,0.0,0.4,0.1,0.2,0.5,0.6,0.2,0.1,0.4,0.3,0.7,0.3
72,1.0,1.0,0.3,1.0,0.9,0.3,1.0,0.4,0.4,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,1.0,0.6,0.7,1.0,0.7,0.9,1.0,1.0,0.9,0.6,0.9,1.0,0.9,1.0
73,0.9,0.9,0.0,0.9,0.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.2,0.6,0.0,0.1,0.1,0.0,0.2,0.3,0.6,0.1,0.1,0.4,0.2,0.4,0.0
74,0.9,1.0,0.0,0.9,0.9,0.0,0.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.1,0.4,0.2,0.0,0.1,0.0,0.3,0.5,0.6,0.2,0.1,0.2,0.6,0.8,0.4
