,Max_depth,N_estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
10,5,50,"[1013, 43, 311, 82]","[995, 61, 298, 95]","[1001, 55, 307, 86]","[995, 61, 284, 109]","[987, 69, 297, 96]","[1008, 48, 304, 89]",[9966  594 3041  888],[9976  584 3052  877],[9994  566 3043  886],[9963  597 3045  884],[9966  594 3044  885]
11,5,75,"[1011, 45, 304, 89]","[997, 59, 299, 94]","[997, 59, 306, 87]","[993, 63, 285, 108]","[991, 65, 299, 94]","[1006, 50, 305, 88]",[9962  598 3039  890],[9971  589 3038  891],[9980  580 3044  885],[9941  619 3043  886],[9958  602 3039  890]
12,5,100,"[1010, 46, 299, 94]","[998, 58, 295, 98]","[995, 61, 303, 90]","[990, 66, 282, 111]","[996, 60, 298, 95]","[1001, 55, 303, 90]",[9957  603 3017  912],[9955  605 3025  904],[9972  588 3040  889],[9932  628 3026  903],[9937  623 3038  891]
13,5,125,"[1007, 49, 297, 96]","[994, 62, 296, 97]","[993, 63, 304, 89]","[991, 65, 278, 115]","[990, 66, 300, 93]","[1003, 53, 302, 91]",[9937  623 3002  927],[9937  623 3007  922],[9953  607 3017  912],[9925  635 3018  911],[9920  640 3033  896]
14,5,150,"[1006, 50, 298, 95]","[993, 63, 294, 99]","[990, 66, 302, 91]","[987, 69, 279, 114]","[988, 68, 299, 94]","[1001, 55, 300, 93]",[9919  641 2989  940],[9920  640 2993  936],[9938  622 2993  936],[9909  651 3002  927],[9916  644 3021  908]
15,6,50,"[1017, 39, 305, 88]","[998, 58, 298, 95]","[998, 58, 314, 79]","[993, 63, 285, 108]","[990, 66, 294, 99]","[1007, 49, 302, 91]",[9969  591 3033  896],[9957  603 3040  889],[9973  587 3036  893],[9970  590 3050  879],[9965  595 3044  885]
16,6,75,"[1015, 41, 304, 89]","[993, 63, 297, 96]","[992, 64, 311, 82]","[990, 66, 284, 109]","[991, 65, 297, 96]","[1004, 52, 300, 93]",[9951  609 3029  900],[9955  605 3032  897],[9952  608 3033  896],[9953  607 3038  891],[9943  617 3036  893]
17,6,100,"[1011, 45, 301, 92]","[990, 66, 291, 102]","[992, 64, 306, 87]","[990, 66, 284, 109]","[988, 68, 297, 96]","[1001, 55, 297, 96]",[9934  626 3004  925],[9937  623 3020  909],[9938  622 3008  921],[9918  642 3021  908],[9921  639 3029  900]
18,6,125,"[1006, 50, 299, 94]","[988, 68, 296, 97]","[989, 67, 301, 92]","[987, 69, 279, 114]","[990, 66, 298, 95]","[1001, 55, 295, 98]",[9916  644 2982  947],[9913  647 3000  929],[9921  639 2993  936],[9895  665 3000  929],[9900  660 3013  916]
19,6,150,"[1000, 56, 296, 97]","[988, 68, 293, 100]","[986, 70, 298, 95]","[984, 72, 279, 114]","[985, 71, 297, 96]","[998, 58, 293, 100]",[9889  671 2959  970],[9889  671 2990  939],[9903  657 2982  947],[9870  690 2987  942],[9883  677 3002  927]
20,7,50,"[1014, 42, 303, 90]","[991, 65, 299, 94]","[996, 60, 310, 83]","[990, 66, 281, 112]","[986, 70, 296, 97]","[1005, 51, 302, 91]",[9944  616 3029  900],[9937  623 3051  878],[9964  596 3049  880],[9945  615 3051  878],[9950  610 3037  892]
21,7,75,"[1013, 43, 299, 94]","[989, 67, 295, 98]","[995, 61, 307, 86]","[985, 71, 280, 113]","[984, 72, 301, 92]","[1002, 54, 296, 97]",[9928  632 3006  923],[9933  627 3031  898],[9943  617 3035  894],[9921  639 3032  897],[9938  622 3011  918]
22,7,100,"[1010, 46, 299, 94]","[981, 75, 294, 99]","[992, 64, 304, 89]","[984, 72, 279, 114]","[989, 67, 296, 97]","[998, 58, 293, 100]",[9907  653 2988  941],[9906  654 3005  924],[9916  644 2999  930],[9896  664 3011  918],[9912  648 3008  921]
23,7,125,"[1004, 52, 295, 98]","[981, 75, 292, 101]","[987, 69, 299, 94]","[979, 77, 280, 113]","[983, 73, 296, 97]","[996, 60, 289, 104]",[9874  686 2972  957],[9875  685 2993  936],[9892  668 2980  949],[9872  688 2988  941],[9881  679 3002  927]
24,7,150,"[1003, 53, 295, 98]","[978, 78, 293, 100]","[987, 69, 298, 95]","[976, 80, 278, 115]","[981, 75, 295, 98]","[995, 61, 292, 101]",[9854  706 2961  968],[9846  714 2967  962],[9871  689 2963  966],[9855  705 2978  951],[9871  689 2984  945]
