,Kernel,C,Gamma,Degree,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
13,poly,1.0,10.0,3.0,"[212, 844, 107, 286]","[323, 733, 159, 234]","[315, 741, 170, 223]","[364, 692, 109, 284]","[410, 646, 159, 234]","[404, 652, 177, 216]",[3167 7393 1441 2488],[3373 7187 1377 2552],[3262 7298 1432 2497],[3056 7504 1300 2629],[3212 7348 1448 2481]
14,linear,10.0,,,"[1018, 38, 324, 69]","[1000, 56, 297, 96]","[1003, 53, 322, 71]","[1003, 53, 294, 99]","[1002, 54, 314, 79]","[1003, 53, 311, 82]",[10060   500  3143   786],[10062   498  3174   755],[10055   505  3160   769],[10061   499  3158   771],[10059   501  3158   771]
15,rbf,10.0,1.0,,"[916, 140, 278, 115]","[952, 104, 297, 96]","[913, 143, 276, 117]","[940, 116, 266, 127]","[944, 112, 272, 121]","[939, 117, 287, 106]",[9287 1273 2819 1110],[9317 1243 2787 1142],[9300 1260 2808 1121],[9258 1302 2802 1127],[9334 1226 2821 1108]
16,poly,10.0,1.0,2.0,"[409, 647, 138, 255]","[371, 685, 172, 221]","[404, 652, 183, 210]","[578, 478, 273, 120]","[450, 606, 189, 204]","[328, 728, 177, 216]",[4235 6325 1798 2131],[4044 6516 1832 2097],[4386 6174 1730 2199],[4860 5700 1938 1991],[4640 5920 1908 2021]
17,poly,10.0,1.0,3.0,"[351, 705, 145, 248]","[173, 883, 80, 313]","[299, 757, 129, 264]","[359, 697, 201, 192]","[238, 818, 64, 329]","[255, 801, 162, 231]",[3103 7457 1343 2586],[3783 6777 1481 2448],[4111 6449 1656 2273],[3786 6774 1521 2408],[3351 7209 1519 2410]
18,rbf,10.0,10.0,,"[953, 103, 310, 83]","[970, 86, 309, 84]","[948, 108, 313, 80]","[954, 102, 283, 110]","[974, 82, 298, 95]","[961, 95, 319, 74]",[9577  983 3088  841],[9578  982 3038  891],[9580  980 3062  867],[9543 1017 3039  890],[9569  991 3055  874]
19,poly,10.0,10.0,2.0,"[536, 520, 165, 228]","[408, 648, 167, 226]","[368, 688, 198, 195]","[444, 612, 219, 174]","[262, 794, 138, 255]","[339, 717, 150, 243]",[4157 6403 1805 2124],[4458 6102 1741 2188],[4658 5902 1862 2067],[4927 5633 2002 1927],[4864 5696 2045 1884]
20,poly,10.0,10.0,3.0,"[7, 1049, 0, 393]","[143, 913, 71, 322]","[212, 844, 104, 289]","[364, 692, 154, 239]","[335, 721, 139, 254]","[192, 864, 103, 290]",[2838 7722 1198 2731],[2617 7943 1033 2896],[3360 7200 1391 2538],[2527 8033 1183 2746],[3174 7386 1269 2660]
21,linear,100.0,,,"[1017, 39, 323, 70]","[1009, 47, 301, 92]","[1000, 56, 320, 73]","[1003, 53, 291, 102]","[1003, 53, 314, 79]","[1003, 53, 310, 83]",[10067   493  3152   777],[9985  575 3093  836],[10039   521  3177   752],[10046   514  3191   738],[10018   542  3132   797]
22,rbf,100.0,1.0,,"[916, 140, 278, 115]","[952, 104, 297, 96]","[913, 143, 276, 117]","[940, 116, 266, 127]","[944, 112, 272, 121]","[939, 117, 287, 106]",[9287 1273 2819 1110],[9317 1243 2787 1142],[9299 1261 2808 1121],[9258 1302 2802 1127],[9334 1226 2821 1108]
23,poly,100.0,1.0,2.0,"[476, 580, 166, 227]","[408, 648, 170, 223]","[573, 483, 181, 212]","[526, 530, 219, 174]","[348, 708, 152, 241]","[343, 713, 167, 226]",[4574 5986 1788 2141],[3781 6779 1482 2447],[4901 5659 1949 1980],[5219 5341 2214 1715],[3921 6639 1612 2317]
24,poly,100.0,1.0,3.0,"[316, 740, 154, 239]","[377, 679, 174, 219]","[328, 728, 161, 232]","[422, 634, 177, 216]","[243, 813, 93, 300]","[259, 797, 158, 235]",[3017 7543 1294 2635],[3156 7404 1418 2511],[3382 7178 1401 2528],[3733 6827 1575 2354],[3220 7340 1261 2668]
25,rbf,100.0,10.0,,"[953, 103, 310, 83]","[970, 86, 309, 84]","[948, 108, 313, 80]","[954, 102, 283, 110]","[974, 82, 298, 95]","[961, 95, 319, 74]",[9577  983 3088  841],[9578  982 3038  891],[9580  980 3062  867],[9543 1017 3039  890],[9569  991 3055  874]
26,poly,100.0,10.0,2.0,"[394, 662, 159, 234]","[295, 761, 121, 272]","[427, 629, 159, 234]","[507, 549, 229, 164]","[315, 741, 130, 263]","[296, 760, 152, 241]",[3936 6624 1740 2189],[4113 6447 1727 2202],[4002 6558 1670 2259],[4616 5944 2013 1916],[4430 6130 1815 2114]
27,poly,100.0,10.0,3.0,"[1050, 6, 391, 2]","[1, 1055, 0, 393]","[1054, 2, 391, 2]","[189, 867, 59, 334]","[3, 1053, 1, 392]","[1055, 1, 393, 0]",[5271 5289 1932 1997],[2948 7612 1191 2738],[5326 5234 2069 1860],[4387 6173 1679 2250],[3271 7289 1377 2552]
28,linear,1000.0,,,"[952, 104, 331, 62]","[743, 313, 240, 153]","[925, 131, 361, 32]","[806, 250, 184, 209]","[796, 260, 216, 177]","[599, 457, 169, 224]",[8260 2300 2484 1445],[8867 1693 2816 1113],[8432 2128 2678 1251],[9388 1172 3180  749],[7790 2770 2582 1347]
29,rbf,1000.0,1.0,,"[916, 140, 278, 115]","[952, 104, 297, 96]","[913, 143, 276, 117]","[940, 116, 266, 127]","[944, 112, 272, 121]","[939, 117, 287, 106]",[9289 1271 2819 1110],[9318 1242 2788 1141],[9299 1261 2809 1120],[9258 1302 2802 1127],[9333 1227 2821 1108]
30,poly,1000.0,1.0,2.0,"[362, 694, 156, 237]","[610, 446, 245, 148]","[302, 754, 161, 232]","[594, 462, 291, 102]","[397, 659, 162, 231]","[634, 422, 195, 198]",[4500 6060 1852 2077],[4161 6399 1697 2232],[4126 6434 1876 2053],[4605 5955 1765 2164],[4313 6247 1827 2102]
31,poly,1000.0,1.0,3.0,"[317, 739, 150, 243]","[540, 516, 174, 219]","[221, 835, 146, 247]","[336, 720, 182, 211]","[316, 740, 121, 272]","[270, 786, 144, 249]",[3281 7279 1394 2535],[3058 7502 1378 2551],[3229 7331 1351 2578],[3046 7514 1234 2695],[3407 7153 1464 2465]
32,rbf,1000.0,10.0,,"[953, 103, 310, 83]","[970, 86, 309, 84]","[948, 108, 313, 80]","[954, 102, 283, 110]","[974, 82, 298, 95]","[961, 95, 319, 74]",[9577  983 3088  841],[9578  982 3038  891],[9580  980 3062  867],[9543 1017 3039  890],[9569  991 3055  874]
33,poly,1000.0,10.0,2.0,"[374, 682, 122, 271]","[372, 684, 183, 210]","[541, 515, 203, 190]","[489, 567, 153, 240]","[511, 545, 177, 216]","[343, 713, 167, 226]",[4619 5941 1757 2172],[4227 6333 1804 2125],[4532 6028 1762 2167],[4681 5879 2037 1892],[4292 6268 1839 2090]
34,poly,1000.0,10.0,3.0,"[0, 1056, 0, 393]","[0, 1056, 0, 393]","[1054, 2, 391, 2]","[0, 1056, 0, 393]","[15, 1041, 6, 387]","[1055, 1, 393, 0]",[3217 7343 1203 2726],[3232 7328 1222 2707],[6226 4334 2379 1550],[6340 4220 2360 1569],[2546 8014 1009 2920]
