,Kernel,C,Gamma,Degree,Estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
13,poly,1.0,10.0,3.0,50,"[345, 711, 151, 242]","[367, 689, 164, 229]","[302, 754, 151, 242]","[402, 654, 200, 193]","[404, 652, 164, 229]","[293, 763, 161, 232]",[3601 6959 1607 2322],[3691 6869 1543 2386],[3711 6849 1590 2339],[3907 6653 1638 2291],[3895 6665 1634 2295]
14,linear,10.0,,,50,"[1018, 38, 324, 69]","[1000, 56, 297, 96]","[999, 57, 322, 71]","[1003, 53, 294, 99]","[1002, 54, 314, 79]","[1004, 52, 311, 82]",[10057   503  3141   788],[10059   501  3167   762],[10057   503  3160   769],[10059   501  3165   764],[10060   500  3155   774]
15,rbf,10.0,1.0,,50,"[931, 125, 288, 105]","[947, 109, 300, 93]","[914, 142, 281, 112]","[948, 108, 273, 120]","[947, 109, 278, 115]","[938, 118, 289, 104]",[9338 1222 2870 1059],[9351 1209 2843 1086],[9378 1182 2849 1080],[9310 1250 2844 1085],[9390 1170 2853 1076]
16,poly,10.0,1.0,2.0,50,"[431, 625, 177, 216]","[475, 581, 187, 206]","[425, 631, 197, 196]","[555, 501, 259, 134]","[423, 633, 174, 219]","[400, 656, 196, 197]",[4438 6122 1924 2005],[4353 6207 1883 2046],[4561 5999 1972 1957],[4772 5788 2072 1857],[4672 5888 2025 1904]
17,poly,10.0,1.0,3.0,50,"[383, 673, 153, 240]","[429, 627, 182, 211]","[302, 754, 149, 244]","[397, 659, 190, 203]","[391, 665, 164, 229]","[318, 738, 158, 235]",[3694 6866 1597 2332],[3848 6712 1627 2302],[3770 6790 1599 2330],[3979 6581 1653 2276],[3914 6646 1612 2317]
18,rbf,10.0,10.0,,50,"[954, 102, 313, 80]","[964, 92, 315, 78]","[948, 108, 314, 79]","[957, 99, 290, 103]","[973, 83, 298, 95]","[958, 98, 318, 75]",[9575  985 3110  819],[9589  971 3063  866],[9609  951 3076  853],[9544 1016 3052  877],[9587  973 3062  867]
19,poly,10.0,10.0,2.0,50,"[425, 631, 186, 207]","[437, 619, 184, 209]","[411, 645, 188, 205]","[544, 512, 235, 158]","[468, 588, 192, 201]","[397, 659, 191, 202]",[4345 6215 1894 2035],[4354 6206 1887 2042],[4406 6154 1920 2009],[4601 5959 2055 1874],[4476 6084 1935 1994]
20,poly,10.0,10.0,3.0,50,"[93, 963, 46, 347]","[178, 878, 78, 315]","[254, 802, 129, 264]","[405, 651, 198, 195]","[388, 668, 161, 232]","[268, 788, 144, 249]",[2824 7736 1310 2619],[2661 7899 1142 2787],[3447 7113 1497 2432],[3847 6713 1683 2246],[4471 6089 1782 2147]
21,linear,100.0,,,50,"[1016, 40, 322, 71]","[1001, 55, 297, 96]","[1003, 53, 321, 72]","[1005, 51, 301, 92]","[1008, 48, 317, 76]","[1021, 35, 324, 69]",[10094   466  3179   750],[10083   477  3196   733],[10080   480  3199   730],[10074   486  3180   749],[10067   493  3174   755]
22,rbf,100.0,1.0,,50,"[931, 125, 288, 105]","[947, 109, 300, 93]","[914, 142, 281, 112]","[948, 108, 273, 120]","[947, 109, 278, 115]","[938, 118, 289, 104]",[9338 1222 2870 1059],[9351 1209 2843 1086],[9378 1182 2849 1080],[9310 1250 2844 1085],[9390 1170 2853 1076]
23,poly,100.0,1.0,2.0,50,"[439, 617, 175, 218]","[473, 583, 191, 202]","[394, 662, 197, 196]","[533, 523, 240, 153]","[467, 589, 186, 207]","[397, 659, 196, 197]",[4471 6089 1953 1976],[4418 6142 1912 2017],[4623 5937 1947 1982],[4775 5785 2075 1854],[4635 5925 1994 1935]
24,poly,100.0,1.0,3.0,50,"[373, 683, 151, 242]","[398, 658, 176, 217]","[295, 761, 155, 238]","[413, 643, 199, 194]","[410, 646, 163, 230]","[311, 745, 160, 233]",[3731 6829 1634 2295],[3857 6703 1626 2303],[3783 6777 1616 2313],[3982 6578 1692 2237],[3961 6599 1636 2293]
25,rbf,100.0,10.0,,50,"[954, 102, 313, 80]","[964, 92, 315, 78]","[948, 108, 314, 79]","[957, 99, 290, 103]","[973, 83, 298, 95]","[958, 98, 318, 75]",[9575  985 3110  819],[9589  971 3063  866],[9609  951 3076  853],[9544 1016 3052  877],[9587  973 3062  867]
26,poly,100.0,10.0,2.0,50,"[444, 612, 192, 201]","[474, 582, 190, 203]","[400, 656, 195, 198]","[506, 550, 240, 153]","[472, 584, 193, 200]","[469, 587, 211, 182]",[4462 6098 1950 1979],[4297 6263 1876 2053],[4383 6177 1905 2024],[4664 5896 2061 1868],[4571 5989 1964 1965]
27,poly,100.0,10.0,3.0,50,"[1055, 1, 393, 0]","[16, 1040, 6, 387]","[17, 1039, 17, 376]","[290, 766, 165, 228]","[138, 918, 47, 346]","[1056, 0, 393, 0]",[4723 5837 1822 2107],[4617 5943 1795 2134],[4686 5874 1774 2155],[6158 4402 2356 1573],[3781 6779 1463 2466]
28,linear,1000.0,,,50,"[1025, 31, 346, 47]","[993, 63, 289, 104]","[1020, 36, 345, 48]","[1053, 3, 392, 1]","[986, 70, 295, 98]","[1048, 8, 388, 5]",[10204   356  3429   500],[10126   434  3297   632],[10157   403  3339   590],[10164   396  3348   581],[10055   505  3197   732]
29,rbf,1000.0,1.0,,50,"[931, 125, 288, 105]","[947, 109, 300, 93]","[914, 142, 281, 112]","[948, 108, 273, 120]","[947, 109, 278, 115]","[938, 118, 289, 104]",[9338 1222 2870 1059],[9351 1209 2843 1086],[9378 1182 2849 1080],[9310 1250 2844 1085],[9390 1170 2853 1076]
30,poly,1000.0,1.0,2.0,50,"[423, 633, 179, 214]","[450, 606, 188, 205]","[403, 653, 202, 191]","[481, 575, 230, 163]","[439, 617, 183, 210]","[409, 647, 207, 186]",[4311 6249 1934 1995],[4441 6119 1885 2044],[4368 6192 1903 2026],[4790 5770 2070 1859],[4424 6136 1936 1993]
31,poly,1000.0,1.0,3.0,50,"[364, 692, 150, 243]","[404, 652, 175, 218]","[308, 748, 150, 243]","[398, 658, 175, 218]","[397, 659, 161, 232]","[293, 763, 152, 241]",[3665 6895 1577 2352],[3797 6763 1600 2329],[3772 6788 1609 2320],[3736 6824 1618 2311],[3879 6681 1623 2306]
32,rbf,1000.0,10.0,,50,"[954, 102, 313, 80]","[964, 92, 315, 78]","[948, 108, 314, 79]","[957, 99, 290, 103]","[973, 83, 298, 95]","[958, 98, 318, 75]",[9575  985 3110  819],[9589  971 3063  866],[9609  951 3076  853],[9544 1016 3052  877],[9587  973 3062  867]
33,poly,1000.0,10.0,2.0,50,"[443, 613, 184, 209]","[409, 647, 171, 222]","[445, 611, 198, 195]","[543, 513, 251, 142]","[446, 610, 173, 220]","[394, 662, 196, 197]",[4408 6152 1897 2032],[4349 6211 1866 2063],[4325 6235 1899 2030],[4618 5942 2033 1896],[4449 6111 1903 2026]
34,poly,1000.0,10.0,3.0,50,"[13, 1043, 4, 389]","[0, 1056, 0, 393]","[83, 973, 63, 330]","[35, 1021, 36, 357]","[180, 876, 96, 297]","[1054, 2, 393, 0]",[3478 7082 1381 2548],[4316 6244 1661 2268],[7417 3143 2758 1171],[6616 3944 2513 1416],[1575 8985  638 3291]
