,Kernel,C,Gamma,Degree,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
14,linear,10.0,,,"[1013, 43, 309, 84]","[1001, 55, 295, 98]","[1000, 56, 319, 74]","[994, 62, 287, 106]","[988, 68, 298, 95]","[1006, 50, 313, 80]",[9995  565 3056  873],[9973  587 3047  882],[9993  567 3058  871],[9985  575 3063  866],[9989  571 3046  883]
15,rbf,10.0,1.0,,"[1045, 11, 383, 10]","[1030, 26, 377, 16]","[1021, 35, 380, 13]","[1035, 21, 378, 15]","[1047, 9, 386, 7]","[1035, 21, 378, 15]",[10370   190  3786   143],[10318   242  3753   176],[10354   206  3776   153],[10334   226  3748   181],[10374   186  3799   130]
16,poly,10.0,1.0,2.0,"[550, 506, 183, 210]","[391, 665, 170, 223]","[398, 658, 153, 240]","[484, 572, 225, 168]","[464, 592, 214, 179]","[358, 698, 173, 220]",[4872 5688 1842 2087],[4578 5982 1889 2040],[4818 5742 1873 2056],[4482 6078 1918 2011],[4767 5793 2027 1902]
17,poly,10.0,1.0,3.0,"[513, 543, 203, 190]","[439, 617, 157, 236]","[492, 564, 201, 192]","[476, 580, 204, 189]","[651, 405, 233, 160]","[515, 541, 222, 171]",[5371 5189 1976 1953],[5499 5061 1999 1930],[5219 5341 1868 2061],[5343 5217 1925 2004],[5113 5447 1903 2026]
18,rbf,10.0,10.0,,"[1053, 3, 392, 1]","[1049, 7, 389, 4]","[1052, 4, 390, 3]","[1048, 8, 389, 4]","[1054, 2, 389, 4]","[1053, 3, 391, 2]",[10518    42  3889    40],[10494    66  3882    47],[10512    48  3881    48],[10503    57  3881    48],[10504    56  3900    29]
19,poly,10.0,10.0,2.0,"[550, 506, 183, 210]","[447, 609, 195, 198]","[398, 658, 153, 240]","[540, 516, 181, 212]","[464, 592, 214, 179]","[471, 585, 188, 205]",[4872 5688 1809 2120],[4709 5851 1813 2116],[5003 5557 1984 1945],[4617 5943 1862 2067],[4578 5982 1891 2038]
20,poly,10.0,10.0,3.0,"[579, 477, 198, 195]","[568, 488, 199, 194]","[610, 446, 202, 191]","[427, 629, 174, 219]","[540, 516, 176, 217]","[553, 503, 200, 193]",[5402 5158 1922 2007],[5430 5130 1886 2043],[5542 5018 2005 1924],[5254 5306 1885 2044],[5386 5174 1980 1949]
21,linear,100.0,,,"[980, 76, 286, 107]","[1032, 24, 344, 49]","[987, 69, 323, 70]","[1008, 48, 313, 80]","[1032, 24, 338, 55]","[997, 59, 311, 82]",[9952  608 3108  821],[9761  799 2935  994],[10005   555  3166   763],[9774  786 2990  939],[9976  584 3119  810]
22,rbf,100.0,1.0,,"[1045, 11, 383, 10]","[1030, 26, 377, 16]","[1021, 35, 380, 13]","[1035, 21, 378, 15]","[1047, 9, 386, 7]","[1035, 21, 378, 15]",[10370   190  3786   143],[10318   242  3753   176],[10354   206  3776   153],[10334   226  3748   181],[10374   186  3799   130]
23,poly,100.0,1.0,2.0,"[424, 632, 176, 217]","[391, 665, 170, 223]","[398, 658, 153, 240]","[431, 625, 203, 190]","[508, 548, 205, 188]","[471, 585, 188, 205]",[4750 5810 1797 2132],[4634 5926 1866 2063],[4701 5859 1804 2125],[4384 6176 1651 2278],[4627 5933 2023 1906]
24,poly,100.0,1.0,3.0,"[635, 421, 193, 200]","[527, 529, 166, 227]","[580, 476, 226, 167]","[476, 580, 204, 189]","[583, 473, 168, 225]","[591, 465, 212, 181]",[5562 4998 1932 1997],[5389 5171 1896 2033],[5483 5077 1951 1978],[5316 5244 1858 2071],[5446 5114 1954 1975]
25,rbf,100.0,10.0,,"[1053, 3, 392, 1]","[1049, 7, 389, 4]","[1052, 4, 390, 3]","[1048, 8, 389, 4]","[1054, 2, 389, 4]","[1053, 3, 391, 2]",[10518    42  3889    40],[10494    66  3882    47],[10512    48  3881    48],[10503    57  3881    48],[10504    56  3900    29]
26,poly,100.0,10.0,2.0,"[424, 632, 176, 217]","[388, 668, 170, 223]","[398, 658, 153, 240]","[459, 597, 197, 196]","[464, 592, 214, 179]","[549, 507, 185, 208]",[4684 5876 1790 2139],[4465 6095 1750 2179],[5042 5518 1829 2100],[4947 5613 1886 2043],[4644 5916 1959 1970]
27,poly,100.0,10.0,3.0,"[579, 477, 198, 195]","[453, 603, 183, 210]","[506, 550, 184, 209]","[484, 572, 186, 207]","[628, 428, 237, 156]","[563, 493, 213, 180]",[5496 5064 1973 1956],[5111 5449 1931 1998],[5299 5261 1900 2029],[5086 5474 1935 1994],[5348 5212 1880 2049]
28,linear,1000.0,,,"[736, 320, 197, 196]","[665, 391, 287, 106]","[969, 87, 371, 22]","[823, 233, 229, 164]","[989, 67, 346, 47]","[1050, 6, 388, 5]",[7512 3048 2475 1454],[7966 2594 2578 1351],[8536 2024 2741 1188],[8196 2364 2582 1347],[8403 2157 2642 1287]
29,rbf,1000.0,1.0,,"[1045, 11, 383, 10]","[1030, 26, 377, 16]","[1021, 35, 380, 13]","[1035, 21, 378, 15]","[1047, 9, 386, 7]","[1035, 21, 378, 15]",[10370   190  3786   143],[10318   242  3753   176],[10354   206  3776   153],[10334   226  3748   181],[10374   186  3799   130]
30,poly,1000.0,1.0,2.0,"[424, 632, 176, 217]","[391, 665, 170, 223]","[398, 658, 153, 240]","[484, 572, 225, 168]","[464, 592, 214, 179]","[549, 507, 185, 208]",[4739 5821 1808 2121],[4381 6179 1834 2095],[4920 5640 1867 2062],[4671 5889 1768 2161],[4675 5885 1903 2026]
31,poly,1000.0,1.0,3.0,"[550, 506, 194, 199]","[490, 566, 159, 234]","[605, 451, 181, 212]","[613, 443, 224, 169]","[552, 504, 213, 180]","[490, 566, 196, 197]",[5552 5008 1923 2006],[5230 5330 1922 2007],[5492 5068 1893 2036],[5454 5106 1955 1974],[5392 5168 1940 1989]
32,rbf,1000.0,10.0,,"[1053, 3, 392, 1]","[1049, 7, 389, 4]","[1052, 4, 390, 3]","[1048, 8, 389, 4]","[1054, 2, 389, 4]","[1053, 3, 391, 2]",[10518    42  3889    40],[10494    66  3882    47],[10512    48  3881    48],[10503    57  3881    48],[10504    56  3900    29]
33,poly,1000.0,10.0,2.0,"[550, 506, 183, 210]","[470, 586, 152, 241]","[398, 658, 153, 240]","[459, 597, 206, 187]","[464, 592, 214, 179]","[436, 620, 187, 206]",[4853 5707 1794 2135],[4499 6061 1864 2065],[4824 5736 1858 2071],[4709 5851 1909 2020],[4473 6087 1844 2085]
34,poly,1000.0,10.0,3.0,"[579, 477, 198, 195]","[467, 589, 150, 243]","[508, 548, 190, 203]","[581, 475, 198, 195]","[487, 569, 222, 171]","[532, 524, 206, 187]",[5245 5315 1882 2047],[4762 5798 1703 2226],[4765 5795 1807 2122],[4418 6142 1704 2225],[5147 5413 1908 2021]
